,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
176,Ohio,Cinemark Woodland Mall Cinema 5,"1234 North Main Street, Bowling Green OH 43402",,,,,,1,,41.3977937,-83.6498861
177,Ohio,Cinemark Cuyahoga Falls and XD,"2925 State Road, Cuyahoga Falls OH 44223",1,,1,,,1,,41.1512824,-81.5070069
178,Ohio,Cinemark at Macedonia,"8161 Macedonia Commons Bl, Macedonia OH 44056",,,1,,,1,,41.3096314,-81.5158392
179,Ohio,Fallen Timbers 14 and XD,"2300 Village Drive West Suite 1700, Maumee OH 43537",1,,1,1,,1,,41.5500327,-83.7059061
180,Ohio,Cinemark Tinseltown USA and XD,"4720 Mega Street NW, North Canton OH 44720",1,1,1,,,1,,40.870969,-81.4360533
181,Ohio,Cinemark Movies 10,"6284 Dressler Rd. Nw, North Canton OH 44720",,,,,,1,,40.8702279,-81.4240598
182,Ohio,Cinemark 14 Mansfield Town Center,"2355 Walker Lake Rd, Ontario OH 44906",,,1,,,1,,40.7851161,-82.5994595
183,Ohio,Levis Commons 12,"2005 Hollenbeck Dr., Perrysburg OH 43551",,,1,,,1,,41.5283075,-83.641327
184,Ohio,Cinemark Stadium,"4314 Milan Road, Sandusky OH 44870",,,,,,1,,41.4190151,-82.6714157
185,Ohio,Cinemark Strongsville at Southpark Mall,"17450 Southpark Center, Strongsville OH 44136",,1,1,,,1,,41.3093733,-81.8200813
186,Ohio,Cinemark Tiffin Mall 8,"870 W. Market St., Tiffin OH 44883",,,1,,,1,,41.1122602,-83.2112795
187,Ohio,Franklin Park 16 and XD,"5001 Monroe Street, Toledo OH 43623",1,,1,1,1,1,,41.6947903,-83.6405724
188,Ohio,Cinemark at Valley View and XD,"6001 Canal Road, Valley View OH 44125",1,1,1,1,,1,1,41.3992992,-81.6239078
189,Ohio,Cinemark Movies 10,"4108 Burbank Road, Wooster OH 44691",,,,,,1,,40.8498101,-81.9466383
190,Oklahoma,Cinemark Ada,"1909 North Hills Center, Ada OK 74820",,,1,,,1,,34.7925287,-96.6644858
191,Oklahoma,Cinemark Broken Arrow,"1801 E. Hillside Drive, Broken Arrow OK 74012",,,1,,,1,,36.0635066,-95.7705562
192,Oklahoma,Cinemark Tinseltown and XD,"6001 Martin Luther King Blvd., Oklahoma City OK 73111",1,,1,,,1,,35.5314893,-97.4798942
193,Oklahoma,Cinemark Cinema 8,"1112 E. Charles Page Blvd, Sand Springs OK 74063",,,,,,1,,36.1383416,-96.0918227
194,Oklahoma,Cinemark Tulsa and IMAX,"10802 E. 71st St. South, Tulsa OK 74133",,1,1,1,,1,1,36.0582774,-95.8567635
195,Oregon,Century 16 Cedar Hills,"3200 SW Hocken Ave., Beaverton OR 97005",,1,1,,,1,,45.4978544,-122.8120124
196,Oregon,Cinemark Tinseltown USA,"651 Medford Center, Medford OR 97501",,,1,,,1,,42.3325011,-122.8667932
197,Oregon,Century Clackamas Town Center and XD,"12000 SE 82nd Ave., OR 97086",1,1,,,,1,,45.4355836,-122.5722429
198,Oregon,Century 16 Eastport Plaza,"4040 SE 82nd Ave., Portland OR 97266",,1,1,,,1,,45.4933488,-122.5743446
199,Oregon,Cinemark 17,"2900 Gateway, Springfield OR 67477",,1,1,,1,1,1,44.0753475,-123.0458147
200,Oregon,Cinemark Movies 6,"7501 Crater Lake Hwy, White City OR 97503",,,,,,1,,42.4258583,-122.8521994
201,Pennsylvania,Tinseltown USA,"1910 Rotunda Drive, Eria PA 16509",,,1,1,,1,,42.059116,-80.087266
202,Pennsylvania,Cinemark Center Township Marketplace,"99 Wagner Road, Monaca PA 15061",,,1,,,1,,40.6821734,-80.3083195
203,Pennsylvania,Cinemark Monroeville Mall and XD,"600 Monroeville Mall, Monroeville PA 15146",1,,1,,,1,,40.4299031,-79.7910878
204,Pennsylvania,Cinemark 20 and XD,"40 Glenmaura National Blvd., Moosic PA 18507",1,1,1,1,,1,1,41.3602916,-75.6792632
205,Pennsylvania,Cinemark University City Penn 6,"4012 Walnut Street, Philadelphia PA 19104",,,1,1,1,1,,39.9538571,-75.2032469
206,Pennsylvania,Cinemark North Hills and XD,"851 Providence Boulevard, Pittsburgh PA 15237",1,,1,1,1,1,,40.5705042,-80.0196744
207,Pennsylvania,Cinemark Robinson Township and XD,"2100 Settlers Ridge Center Dr., Robinson Township PA 15205",1,1,1,,,1,,40.4390811,-80.1463451
208,Pennsylvania,Cinemark Stroud Mall and XD,"160 Stroud Mall, Stroudsburg PA 18360",1,,1,,,1,,40.990666,-75.2235456
209,Pennsylvania,Cinemark Galleria at Pittsburgh Mills and IMAX,"425 Pittsburgh Mills Circle, Tarentum PA 15084",,,1,,,1,,40.5738894,-79.7958541
210,South Carolina,Cinemark Bluffton,"106 Buckwalter Parkway, Bluffton SC 29910",,,1,,,1,,32.2836597,-80.912651
211,South Carolina,Cinemark at Myrtle Beach,"2100 Coastal Grand Circle, Myrtle Beach SC 29577",,1,1,,,1,,33.7015634,-78.923213
212,South Carolina,Cinemark Movies 8,"4488 Ladson Road, Summerville SC 29485",,,,,,1,,32.9584523,-80.1599988
213,South Dakota,Century Stadium 14 and XD,"2400 South Carolyn, Sioux Falls SD 57106",1,,1,,,1,,43.5259285,-96.777591
214,South Dakota,Century East at Dawley Farm,"1101 S. Highline Place, Sioux Falls SD 57110",,,,,,1,,43.5374447,-96.6555435
215,Tennesseee,Cinemark Tinseltown USA,"755 W. Main Street, Oak Ridge TN 378930",,,1,,,1,,36.0116299,-84.2562325
216,Texas,Cinemark Southpark Meadows,"9900 S. IH-35 Service Road SB, Autin TX 78748",,1,1,,,1,,30.1540411,-97.7941972
217,Texas,Cinemark Hill Country Galleria,"12812 Hill COUntry Blvd., Bee Cave TX 78738",,1,1,,,1,,30.3097596,-97.9408142
218,Texas,Cinemark Cedar Park,"1335 E. Whitestone Blvd, Cedar Park TX 78613",,1,,,,1,,30.5272466,-97.8141884
219,Texas,Cinemark Movies 18 and XD,"1401 Earl Rudder Frwy South, College Station TX 77845",1,1,1,1,,1,1,30.6355807,-96.3029164
220,Texas,Cinemark at Market Heights,"201 E. Central Texas Expressway, Harker Heights TX 76548",,,,,,1,,31.0737433,-97.6649639
221,Texas,Cinemark Lufkin 12,"109 Miles Way, Lufkin TX 95901",,,1,,,1,,31.3113268,-94.7160322
222,Texas,Cinemark 20 and XD,"15436 F.M. 1825, Pflugerville TX 78660",1,1,1,,,1,,30.4478725,-97.6633734
223,Texas,Cinemark Stone Hill Town Center,"18820 Hilltop Commercial Dr., Pflugerville TX 78660",,,1,,,1,,30.4703717,-97.5984276
224,Texas,Cinemark 14 Round Rock ,"4401 N. IH 35, Round Rock TX 78664",,,1,,,1,,30.5669991,-97.690339
225,Texas,Cinemark Movies 8,"2132 N. Mays, Ste. 800, Round Rock TX 78664",,,,,,1,,30.5313869,-97.6902333
226,Texas,Cinemark Movies 16,"5063 N.W. Loop 410, San Antonio TX 78229",,,,,,1,,29.4892213,-98.5906875
227,Texas,Cinemark McCreless Market,"4224 S New Braunfels Ave., San Antonia TX 78223",,,,,,1,,29.3768217,-98.4589557
